sample_name,add,drop,shift,file,trial,set,setname1,setname2,rep1,rep2
add1_0,0.1,0,0,BED1,0,1,add,add,1,1
add2_0,0.2,0,0,BED1,0,1,add,add,2,2
add3_0,0.3,0,0,BED1,0,1,add,add,3,3
drop1_0,0,0.1,0,BED1,0,2,drop,drop,1,1
drop2_0,0,0.2,0,BED1,0,2,drop,drop,2,2
drop3_0,0,0.3,0,BED1,0,2,drop,drop,3,3
shift1_0,0,0,0.2,BED1,0,3,shift,shift,1,1
shift2_0,0,0,0.5,BED1,0,3,shift,shift,2,2
shift3_0,0,0,0.8,BED1,0,3,shift,shift,3,3
add_drop1_0,0.1,0.1,0,BED1,0,4,drop+addL,add+dropL,1,1
add_drop2_0,0.1,0.2,0,BED1,0,4,drop+addL,add+dropM,2,1
add_drop3_0,0.1,0.3,0,BED1,0,4,drop+addL,add+dropH,3,1
add_drop4_0,0.2,0.1,0,BED1,0,5,drop+addM,add+dropL,1,2
add_drop5_0,0.2,0.2,0,BED1,0,5,drop+addM,add+dropM,2,2
add_drop6_0,0.2,0.3,0,BED1,0,5,drop+addM,add+dropH,3,2
add_drop7_0,0.3,0.1,0,BED1,0,6,drop+addH,add+dropL,1,3
add_drop8_0,0.3,0.2,0,BED1,0,6,drop+addH,add+dropM,2,3
add_drop9_0,0.3,0.3,0,BED1,0,6,drop+addH,add+dropH,3,3
shift_drop1_0,0,0.1,0.2,BED1,0,7,shift+dropL,drop+shiftL,1,1
shift_drop2_0,0,0.1,0.5,BED1,0,7,shift+dropL,drop+shiftM,2,1
shift_drop3_0,0,0.1,0.8,BED1,0,7,shift+dropL,drop+shiftH,3,1
shift_drop4_0,0,0.2,0.2,BED1,0,8,shift+dropM,drop+shiftL,1,2
shift_drop5_0,0,0.2,0.5,BED1,0,8,shift+dropM,drop+shiftM,2,2
shift_drop6_0,0,0.2,0.8,BED1,0,8,shift+dropM,drop+shiftH,3,2
shift_drop7_0,0,0.3,0.2,BED1,0,9,shift+dropH,drop+shiftL,1,3
shift_drop8_0,0,0.3,0.5,BED1,0,9,shift+dropH,drop+shiftM,2,3
shift_drop9_0,0,0.3,0.8,BED1,0,9,shift+dropH,drop+shiftH,3,3
add_shift1_0,0.1,0,0.2,BED1,0,10,shift+addL,add+shiftL,1,1
add_shift2_0,0.1,0,0.5,BED1,0,10,shift+addL,add+shiftM,2,1
add_shift3_0,0.1,0,0.8,BED1,0,10,shift+addL,add+shiftH,3,1
add_shift4_0,0.2,0,0.2,BED1,0,11,shift+addM,add+shiftL,1,2
add_shift5_0,0.2,0,0.5,BED1,0,11,shift+addM,add+shiftM,2,2
add_shift6_0,0.2,0,0.8,BED1,0,11,shift+addM,add+shiftH,3,2
add_shift7_0,0.3,0,0.2,BED1,0,12,shift+addH,add+shiftL,1,3
add_shift8_0,0.3,0,0.5,BED1,0,12,shift+addH,add+shiftM,2,3
add_shift9_0,0.3,0,0.8,BED1,0,12,shift+addH,add+shiftH,3,3
